level,ug_code,ug_title,code,title
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.03,Технология геологической разведки
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.04,Горное дело
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.05,Физические процессы горного или нефтегазового производства
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.06,Нефтегазовые техника и технологии
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.01,Наземные транспортно-технологические средства
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.02,Транспортные средства специального назначения
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.03,Подвижной состав железных дорог
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.04,Эксплуатация железных дорог
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.05,Системы обеспечения движения поездов
spec,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.05.06,"Строительство железных дорог, мостов и транспортных тоннелей"
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.01,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов"
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.02,Проектирование авиационных и ракетных двигателей
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.03,Испытание летательных аппаратов
