level,ug_code,ug_title,code,title
bach,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.03.03,Геодезия и дистанционное зондирование
bach,22.00.00,ТЕХНОЛОГИИ МАТЕРИАЛОВ,22.03.01,Материаловедение и технологии материалов
bach,22.00.00,ТЕХНОЛОГИИ МАТЕРИАЛОВ,22.03.02,Металлургия
bach,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.03.01,Технология транспортных процессов
bach,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.03.02,Наземные транспортно-технологические комплексы
bach,23.00.00,ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА,23.03.03,Эксплуатация транспортно-технологических машин и комплексов
bach,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.03.01,Ракетные комплексы и космонавтика
bach,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.03.02,Системы управления движением и навигация
bach,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.03.03,Баллистика и гидроаэродинамика
bach,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.03.04,Авиастроение
bach,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.03.05,Двигатели летательных аппаратов
bach,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.03.01,Техническая эксплуатация летательных аппаратов и двигателей
bach,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.03.02,Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
bach,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.03.03,Аэронавигация
